EC 46.pdf timeline — 285 distinct documents
==================================================================================================================================
  #  DATE          DOC NO         NATURE                           SURVEY(S)                        EXTENT | CONSIDERATION
==================================================================================================================================
119  22-May-2008   4535/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
120  22-May-2008   4536/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
121  22-May-2008   4537/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
122  22-May-2008   4538/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
123  22-May-2008   4539/2008      உரிமை மாற்றம்                    46/1B                            1200சதுரடி | ரூ. 26,400/-
124  22-May-2008   4540/2008      உரிமை மாற்றம்                    46/1D                            1200சதுரடி | ரூ. 26,400/-
125  22-May-2008   4541/2008      உரிமை மாற்றம்                    46/1D                            1200சதுரடி | ரூ. 26,400/-
126  22-May-2008   4542/2008      உரிமை மாற்றம்                    46/1C, 46/1D                     1200சதுரடி | ரூ. 26,400/-
127  22-May-2008   4543/2008      உரிமை மாற்றம்                    46/1D                            1200சதுரடி | ரூ. 26,400/-
128  22-May-2008   4544/2008      உரிமை மாற்றம்                    46/1C                            1200சதுரடி | ரூ. 26,400/-
129  22-May-2008   4545/2008      உரிமை மாற்றம்                    N/A                              1200சதுரடி | ரூ. 26,400/-
130  22-May-2008   4546/2008      உரிமை மாற்றம்                    46/1C                            1200சதுரடி | ரூ. 26,400/-
131  22-May-2008   4547/2008      உரிமை மாற்றம்                    46/1C, 46/1D                     1200சதுரடி | ரூ. 26,400/-
132  22-May-2008   4548/2008      உரிமை மாற்றம்                    46/1D                            1200சதுரடி | ரூ. 26,400/-
133  22-May-2008   4551/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
134  22-May-2008   4552/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
135  22-May-2008   4553/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
136  22-May-2008   4554/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
137  22-May-2008   4555/2008      உரிமை மாற்றம்                    46/1B                            1200சதுரடி | ரூ. 26,400/-
138  22-May-2008   4556/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
139  22-May-2008   4557/2008      உரிமை மாற்றம்                    46/1A, 46/1B, 46/2               1200சதுரடி | ரூ. 26,400/-
140  22-May-2008   4558/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 27,720/-
141  22-May-2008   4559/2008      உரிமை மாற்றம்                    46/1A                            1200சதுரடி | ரூ. 26,400/-
142  22-May-2008   4560/2008      உரிமை மாற்றம்                    46/1A                            1200சதுரடி | ரூ. 26,400/-
143  22-May-2008   4561/2008      உரிமை மாற்றம்                    N/A                              1200சதுரடி | ரூ. 26,400/-
144  22-May-2008   4562/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
145  22-May-2008   4563/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
146  22-May-2008   4564/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
147  04-Jun-2008   4849/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
148  04-Jun-2008   4866/2008      உரிமை மாற்றம்                    45/2, 46/2                       1200சதுரடி | ரூ. 26,400/-
149  04-Jun-2008   4867/2008      உரிமை மாற்றம்                    46/1C                            1200சதுரடி | ரூ. 26,400/-
150  04-Jun-2008   4868/2008      உரிமை மாற்றம்                    46/1D                            1200சதுரடி | ரூ. 26,400/-
151  04-Jun-2008   4869/2008      உரிமை மாற்றம்                    N/A                              1200சதுரடி | ரூ. 26,400/-
